epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,326.587,3.37231,5.14378,3.91968,0.35513,0.00919,0.00768,0.00263,2.69073,3.93303,3.26111,0.0099784,0.00332613,0.0099784,0.00332613,0.0099784,0.00332613,0.0099784,0.00332613
2,602.369,2.00365,3.31147,2.24963,0.23564,0.16245,0.11519,0.06424,1.77107,2.58323,1.95921,0.0199388,0.00664628,0.0199388,0.00664628,0.0199388,0.00664628,0.0199388,0.00664628
3,874.756,1.61076,2.49749,1.77493,0.30752,0.2426,0.19925,0.11993,1.54257,2.21474,1.68979,0.0298597,0.00995323,0.0298597,0.00995323,0.0298597,0.00995323,0.0298597,0.00995323
4,1147.1,1.44916,2.10482,1.60408,0.41958,0.30902,0.29328,0.18723,1.40566,1.84151,1.53895,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,1421.35,1.35333,1.87642,1.51042,0.49298,0.34499,0.35582,0.23341,1.30956,1.64741,1.45269,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1696.12,1.29994,1.74695,1.45487,0.51094,0.38182,0.39492,0.26351,1.25403,1.52299,1.40611,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,1970.21,1.27256,1.67011,1.42398,0.53491,0.40505,0.42408,0.28624,1.2195,1.44811,1.36828,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,2242.49,1.24539,1.61698,1.39914,0.53736,0.41888,0.43515,0.29629,1.19533,1.41422,1.34268,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,2516.16,1.22089,1.56331,1.37614,0.55772,0.42891,0.45298,0.31118,1.17539,1.36374,1.31797,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,2789.58,1.20873,1.52757,1.3613,0.58047,0.44066,0.47368,0.32998,1.14804,1.32027,1.2985,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,3063.93,1.19872,1.50456,1.35081,0.60115,0.44776,0.48301,0.33873,1.13218,1.27832,1.28147,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
