epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1018.74,3.19333,5.08124,3.73725,0.24372,0.03256,0.01114,0.00446,2.45165,3.72606,2.89025,0.0099784,0.00332613,0.0099784,0.00332613,0.0099784,0.00332613,0.0099784,0.00332613
2,1988.8,1.98755,3.3454,2.17995,0.26825,0.15373,0.11428,0.06298,1.79077,2.59715,1.93628,0.0199388,0.00664628,0.0199388,0.00664628,0.0199388,0.00664628,0.0199388,0.00664628
3,2957.96,1.65118,2.56691,1.77653,0.33407,0.21594,0.18673,0.11245,1.59726,2.24144,1.71115,0.0298597,0.00995323,0.0298597,0.00995323,0.0298597,0.00995323,0.0298597,0.00995323
4,3960.4,1.50657,2.19802,1.61575,0.39022,0.27442,0.25811,0.16138,1.49031,1.97901,1.58343,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,4935.83,1.4167,1.98448,1.52653,0.47108,0.32226,0.3199,0.20641,1.38106,1.73694,1.48352,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,5910.73,1.36645,1.85595,1.47678,0.43262,0.3056,0.30261,0.19566,1.38292,1.8183,1.47619,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,6886.78,1.34204,1.78928,1.44707,0.4773,0.36039,0.36394,0.24217,1.30358,1.61171,1.40204,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,7864.98,1.30946,1.72801,1.41829,0.52705,0.37294,0.39188,0.26288,1.26695,1.52918,1.37085,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,8844.38,1.28598,1.67112,1.39597,0.54479,0.40087,0.42222,0.2854,1.22922,1.45016,1.32865,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,9823.6,1.27482,1.63505,1.38376,0.55662,0.41014,0.43764,0.2988,1.20742,1.41372,1.32118,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,10801.5,1.26374,1.60751,1.3733,0.57049,0.42509,0.4529,0.31144,1.18667,1.36517,1.29886,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,11780.1,1.24947,1.57895,1.3629,0.56382,0.4407,0.46944,0.32494,1.16611,1.3209,1.28058,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,12759.9,1.23843,1.55701,1.35388,0.58421,0.44575,0.47568,0.33061,1.15446,1.29813,1.27506,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,13739.2,1.23332,1.53875,1.34721,0.59375,0.45925,0.49377,0.34443,1.13834,1.2591,1.25972,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,14718.9,1.22733,1.5262,1.34037,0.59276,0.47223,0.50222,0.35248,1.12729,1.245,1.25058,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,15697.6,1.22203,1.50845,1.33513,0.61027,0.47737,0.51673,0.36381,1.11368,1.21084,1.23821,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,16677,1.22067,1.49531,1.33254,0.61495,0.48036,0.51971,0.36619,1.10664,1.19914,1.23407,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,17654.9,1.21421,1.48574,1.32784,0.61962,0.48386,0.52266,0.36846,1.10738,1.18704,1.23125,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,18636.7,1.21208,1.47408,1.32477,0.62233,0.48882,0.52973,0.37585,1.09634,1.1735,1.2223,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,19632.9,1.20959,1.47174,1.32268,0.61864,0.49859,0.53754,0.3825,1.08789,1.15649,1.21676,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,20610.8,1.20131,1.4645,1.31682,0.62358,0.50181,0.54294,0.38649,1.08241,1.14303,1.21029,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,21785.6,1.1994,1.4552,1.31332,0.63218,0.50015,0.54448,0.38947,1.07505,1.13417,1.20545,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,22792.3,1.19122,1.43864,1.30682,0.63447,0.50358,0.55043,0.39401,1.07152,1.12367,1.20129,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,23767.4,1.19262,1.43642,1.30523,0.63982,0.5114,0.55645,0.39872,1.06392,1.11389,1.19597,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,24740.5,1.18934,1.42435,1.30133,0.65169,0.50739,0.55846,0.40067,1.06051,1.10891,1.1933,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,25716.4,1.18883,1.42223,1.30115,0.63974,0.51763,0.56233,0.40406,1.05427,1.09906,1.19019,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,26692.5,1.18772,1.41699,1.29674,0.62699,0.52763,0.5643,0.40686,1.05309,1.09461,1.18861,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,27667.9,1.18574,1.41006,1.30057,0.65421,0.51917,0.56794,0.40929,1.0491,1.08798,1.18442,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,28642.2,1.18125,1.40406,1.2952,0.65178,0.52209,0.56986,0.41116,1.04631,1.08495,1.18199,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
30,29619,1.17572,1.4009,1.29306,0.65973,0.52359,0.5735,0.4148,1.04502,1.07703,1.18091,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,30593.4,1.17726,1.39618,1.2902,0.65591,0.52294,0.57444,0.4155,1.04283,1.07447,1.17971,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,31567.8,1.16713,1.38763,1.28738,0.65623,0.52388,0.57515,0.41657,1.04152,1.07108,1.17861,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,32543.4,1.17879,1.38742,1.28715,0.66965,0.52262,0.57791,0.41776,1.03915,1.06829,1.17608,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,33518.2,1.17718,1.387,1.28591,0.65959,0.52814,0.57849,0.41877,1.03754,1.06609,1.17452,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,34492.9,1.17212,1.38186,1.28706,0.6538,0.53301,0.58008,0.42006,1.03591,1.06236,1.17342,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,35466.9,1.1718,1.37882,1.28336,0.65768,0.53236,0.58148,0.42167,1.03451,1.05937,1.17273,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,36439.9,1.16871,1.36713,1.28038,0.64794,0.53826,0.58161,0.42221,1.0329,1.05733,1.17212,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
