epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,230.733,3.28985,5.15425,3.80029,0.38061,0.01255,0.00273,0.00094,2.72441,4.0091,3.08557,0.0099784,0.00332613,0.0099784,0.00332613,0.0099784,0.00332613,0.0099784,0.00332613
2,402.613,2.10241,3.67653,2.31519,0.1836,0.0948,0.05452,0.02821,1.91341,2.98345,2.07662,0.0199388,0.00664628,0.0199388,0.00664628,0.0199388,0.00664628,0.0199388,0.00664628
3,577.284,1.78894,3.00227,1.9213,0.24835,0.15112,0.09671,0.05245,1.74574,2.65728,1.83993,0.0298597,0.00995323,0.0298597,0.00995323,0.0298597,0.00995323,0.0298597,0.00995323
4,752.031,1.64984,2.62345,1.74103,0.29613,0.20611,0.16772,0.09802,1.62066,2.26997,1.67201,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,924.753,1.56862,2.41308,1.64103,0.35138,0.23458,0.20457,0.1223,1.54018,2.10779,1.59117,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1097.97,1.51901,2.28838,1.58804,0.38367,0.25934,0.23939,0.14964,1.47869,1.9787,1.52134,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,1273.05,1.48423,2.19623,1.54626,0.40527,0.2807,0.26558,0.16723,1.44564,1.9018,1.49468,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,1448.67,1.45604,2.12892,1.51677,0.42185,0.29608,0.28326,0.17842,1.41896,1.83071,1.45551,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,1621.25,1.43895,2.08344,1.49483,0.45169,0.29976,0.30263,0.19369,1.39562,1.78442,1.43657,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,1795.59,1.42859,2.0392,1.47841,0.43931,0.31761,0.31252,0.20315,1.37624,1.74345,1.41835,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,1969.71,1.42493,2.01592,1.46677,0.46889,0.32953,0.3285,0.21518,1.35492,1.7045,1.39531,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,2144.48,1.40998,1.97817,1.45168,0.47216,0.3346,0.33723,0.22233,1.3396,1.6729,1.37504,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,2318.55,1.40415,1.9641,1.44186,0.46488,0.34191,0.34463,0.22791,1.32928,1.64716,1.36019,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,2492.76,1.39185,1.93049,1.42847,0.49194,0.34811,0.35795,0.23717,1.31309,1.61383,1.34949,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,2666.66,1.38091,1.91318,1.42224,0.50023,0.35902,0.36503,0.24272,1.30485,1.59674,1.34364,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,2842.92,1.38295,1.9089,1.42249,0.50738,0.36222,0.375,0.25219,1.2877,1.55489,1.32552,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,3018.64,1.37456,1.89663,1.41275,0.52665,0.36192,0.38482,0.25854,1.27677,1.53512,1.31531,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,3190.1,1.37146,1.87508,1.4081,0.52098,0.36979,0.3896,0.26056,1.26978,1.52018,1.30878,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,3364.87,1.36937,1.86815,1.40098,0.54215,0.37367,0.39561,0.26608,1.26577,1.50103,1.30147,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,3539.8,1.35602,1.85876,1.39303,0.54079,0.37845,0.39955,0.26981,1.25706,1.48658,1.29573,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,3714.05,1.3597,1.84335,1.39527,0.54948,0.38106,0.40671,0.27542,1.24826,1.46992,1.28742,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,3888.42,1.35533,1.84959,1.38876,0.5391,0.38891,0.41091,0.27884,1.2449,1.45928,1.28091,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,4061.81,1.35184,1.8303,1.38364,0.53563,0.39456,0.41244,0.27999,1.23773,1.45405,1.27554,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,4235.42,1.34205,1.81743,1.37666,0.55949,0.38779,0.41622,0.28253,1.2349,1.44187,1.27224,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,4409.76,1.3379,1.81131,1.37771,0.54734,0.39485,0.41957,0.28568,1.22984,1.43363,1.26802,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,4581.77,1.35545,1.81095,1.37845,0.5422,0.40209,0.42175,0.28676,1.22675,1.42645,1.26563,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,4754.19,1.34661,1.81401,1.37527,0.55356,0.3956,0.42194,0.288,1.22208,1.42334,1.26256,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,4927.89,1.34321,1.80423,1.37291,0.55846,0.39658,0.42399,0.29018,1.21947,1.41536,1.25974,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,5101.47,1.33761,1.79866,1.37341,0.55111,0.40096,0.4276,0.29266,1.21607,1.40959,1.25637,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
30,5275.06,1.33988,1.79411,1.37124,0.54746,0.4014,0.42953,0.29387,1.21442,1.40629,1.2544,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,5447.31,1.33824,1.78827,1.3646,0.55872,0.4,0.42997,0.29439,1.21302,1.40325,1.25278,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,5621.71,1.32495,1.77738,1.36086,0.5582,0.40181,0.43097,0.29528,1.21247,1.4004,1.25209,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,5796.65,1.33731,1.77449,1.36575,0.56597,0.40001,0.43162,0.29643,1.20995,1.39543,1.25014,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,5972.06,1.32696,1.77698,1.35891,0.56688,0.40062,0.43257,0.29729,1.20822,1.39284,1.24814,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,6144.86,1.33413,1.77521,1.36286,0.55593,0.40664,0.4332,0.29771,1.20714,1.39034,1.2471,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,6316.99,1.33264,1.7536,1.35626,0.55509,0.40861,0.43406,0.29854,1.20621,1.3883,1.24589,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,6491.5,1.33765,1.7656,1.36162,0.55444,0.4089,0.43519,0.29935,1.20488,1.38675,1.24466,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,6663.46,1.32494,1.75105,1.35536,0.55761,0.40883,0.43508,0.29936,1.20396,1.38545,1.24387,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,6838.4,1.32246,1.7402,1.3479,0.55938,0.40872,0.43548,0.30015,1.20289,1.38448,1.24281,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,7012.48,1.32568,1.74992,1.35042,0.5613,0.40767,0.43617,0.30072,1.20189,1.38388,1.24187,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,7186.29,1.33442,1.74671,1.35406,0.55711,0.41252,0.43614,0.30072,1.20099,1.38368,1.24133,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,7359.81,1.32902,1.75008,1.35397,0.55933,0.40984,0.43628,0.30075,1.20094,1.38418,1.2411,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,7532.78,1.32675,1.74631,1.34895,0.56295,0.40888,0.43664,0.30146,1.20026,1.38418,1.24071,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,7705.96,1.31675,1.73711,1.34618,0.56248,0.4095,0.43658,0.30133,1.20003,1.38483,1.24035,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,7879.14,1.31611,1.73215,1.34078,0.56092,0.40991,0.43687,0.30166,1.19978,1.38582,1.24007,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,8053.5,1.31865,1.72927,1.34502,0.55458,0.41374,0.4369,0.30178,1.1997,1.38725,1.23975,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,8227.82,1.32791,1.73262,1.35019,0.55383,0.41332,0.43721,0.30194,1.19946,1.38817,1.2393,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,8404.41,1.31962,1.71971,1.34113,0.55673,0.41225,0.43729,0.30189,1.19917,1.38969,1.23911,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,8577.77,1.3165,1.72318,1.339,0.55757,0.41179,0.4371,0.30199,1.19903,1.39149,1.23881,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,8752.51,1.3219,1.73129,1.34266,0.56079,0.41163,0.43721,0.30179,1.199,1.39355,1.2388,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,8923.93,1.31968,1.72654,1.34697,0.56388,0.4096,0.43716,0.30169,1.1989,1.39549,1.2386,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,9097.39,1.31565,1.72704,1.34103,0.56728,0.40329,0.43679,0.30185,1.19881,1.39774,1.23857,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,9269.53,1.30933,1.71556,1.3418,0.56754,0.40396,0.43672,0.30172,1.19876,1.40064,1.23856,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,9442.81,1.31093,1.70213,1.33301,0.56849,0.40312,0.4363,0.30138,1.19846,1.4034,1.23836,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,9615.5,1.31479,1.70566,1.33569,0.57255,0.40263,0.43653,0.30128,1.19841,1.40616,1.23827,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,9788.87,1.30361,1.69893,1.331,0.57437,0.40152,0.43622,0.30112,1.19874,1.40954,1.2385,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,9960.86,1.30443,1.70925,1.33311,0.57189,0.40265,0.4361,0.30107,1.1991,1.41374,1.2387,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
