epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,311.503,3.2175,5.13664,3.70453,0.38307,0.01442,0.00426,0.00144,2.55163,3.83945,2.87506,0.0099784,0.00332613,0.0099784,0.00332613,0.0099784,0.00332613,0.0099784,0.00332613
2,567.125,2.09717,3.73934,2.2976,0.21962,0.08686,0.04639,0.02403,1.93362,3.0308,2.07154,0.0199388,0.00664628,0.0199388,0.00664628,0.0199388,0.00664628,0.0199388,0.00664628
3,825.063,1.81382,3.0775,1.9304,0.20081,0.14248,0.0915,0.05059,1.78378,2.75174,1.8702,0.0298597,0.00995323,0.0298597,0.00995323,0.0298597,0.00995323,0.0298597,0.00995323
4,1079.94,1.68222,2.71233,1.76118,0.27382,0.18621,0.15178,0.08941,1.65991,2.369,1.70427,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,1343.88,1.60279,2.50276,1.66331,0.33884,0.22329,0.19912,0.12263,1.56084,2.15373,1.60221,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1611.09,1.5497,2.36505,1.60817,0.39037,0.2405,0.22079,0.13762,1.51961,2.08456,1.55705,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,1877.26,1.51441,2.26327,1.56588,0.38654,0.25827,0.24721,0.15637,1.46404,1.96818,1.50891,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,2142.5,1.48917,2.19064,1.53641,0.41908,0.28167,0.27164,0.17285,1.43778,1.86173,1.4603,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,2407.28,1.46956,2.14158,1.51528,0.44132,0.29345,0.29115,0.18723,1.41742,1.82452,1.44417,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,2683.27,1.45288,2.09426,1.49672,0.42065,0.30428,0.30112,0.19349,1.40371,1.79381,1.43385,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,2956.39,1.45206,2.07041,1.48633,0.47519,0.31161,0.31814,0.20611,1.37351,1.73636,1.40648,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,3217.25,1.43721,2.03039,1.47114,0.49526,0.32043,0.33227,0.21765,1.35888,1.69996,1.39336,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,3478.85,1.42959,2.0074,1.46061,0.49287,0.33696,0.33988,0.22278,1.34621,1.66756,1.37415,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,3742.06,1.41992,1.97514,1.44844,0.47566,0.34259,0.34925,0.23114,1.3329,1.64432,1.36431,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,4001.75,1.40855,1.95936,1.44147,0.51515,0.34975,0.3637,0.24207,1.31193,1.60794,1.35254,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,4262.53,1.4118,1.94878,1.44251,0.52436,0.35488,0.36999,0.24714,1.30461,1.58439,1.34394,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,4523.12,1.40157,1.93876,1.43371,0.51856,0.35872,0.37799,0.25369,1.29605,1.55059,1.32871,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,4785.59,1.39908,1.91872,1.42996,0.51665,0.36445,0.38266,0.25702,1.28611,1.54005,1.3235,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,5046.53,1.39675,1.90995,1.42238,0.53945,0.37105,0.39133,0.26351,1.27644,1.50794,1.31361,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,5306.46,1.38292,1.90241,1.41574,0.53953,0.37375,0.39668,0.26829,1.26822,1.49862,1.30767,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,5566.23,1.38512,1.88204,1.41819,0.52584,0.38909,0.40292,0.2733,1.26327,1.48598,1.3012,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
